Order ID,State/Province,Shipping Status,Date,City,Country/Region,Ship Mode,Days to Ship Scheduled
US-2022-161844,Tennessee,Shipped,12/14/2022,Franklin,United States,Second Class,6
US-2023-157448,California,Shipped,11/20/2023,Los Angeles,United States,Standard Class,12
US-2023-108035,Tennessee,Ordered,11/29/2023,Chattanooga,United States,Standard Class,12
US-2023-114636,North Carolina,Ordered,8/25/2023,Charlotte,United States,Standard Class,6
US-2022-101693,Texas,Ordered,6/25/2022,Houston,United States,Second Class,6
US-2023-109589,Kentucky,Shipped,12/24/2023,Bowling Green,United States,First Class,1
US-2021-119312,California,Shipped,10/7/2021,Los Angeles,United States,Second Class,3
US-2023-165687,Virginia,Ordered,11/17/2023,Salem,United States,Standard Class,6
US-2021-133242,Virginia,Ordered,6/18/2021,Arlington,United States,Standard Class,30
US-2022-151372,California,Ordered,9/5/2022,Redondo Beach,United States,First Class,3
US-2021-112144,Arizona,Ordered,6/28/2021,Gilbert,United States,Standard Class,12
US-2022-160129,Pennsylvania,Ordered,11/23/2022,Philadelphia,United States,Same Day,0
US-2022-164945,New York,Orderd,11/22/2022,New York City,United States,Standard Class,6
US-2023-165029,Georgia,Shipped,11/30/2023,Atlanta,United States,Standard Class,6
US-2023-101721,Illinois,Shipped,7/27/2023,Chicago,United States,Standard Class,6
US-2023-123204,New York,Shipped,7/27/2023,New York City,United States,Standard Class,6
US-2021-114069,New York,Orderd,7/13/2021,New York City,United States,Second Class,9
US-2022-103037,Texas,Shipped,7/29/2022,Houston,United States,Standard Class,6
US-2022-150483,Illinois,Orderd,5/31/2022,Decatur,United States,Standard Class,24
US-2022-164924,Pennsylvania,Shipped,7/10/2022,Philadelphia,United States,Same Day,0
US-2022-146325,California,Shipped,12/17/2022,San Diego,United States,First Class,2
US-2022-114601,Michigan,Ordered,8/26/2022,Detroit,United States,Standard Class,30
US-2022-142958,California,Ordered,12/13/2022,Torrance,United States,Standard Class,12
US-2020-168368,Missouri,Shipped,2/15/2020,Columbia,United States,Second Class,18
US-2021-144386,New York,Shipped,11/11/2021,New York City,United States,Standard Class,6
US-2020-148040,Arizona,Shipped,3/26/2020,Tucson,United States,Standard Class,12
US-2022-104794,New York,Ordered,12/16/2022,New York City,United States,First Class,1
US-2023-147886,California,Ordered,3/28/2023,Fairfield,United States,First Class,7
US-2020-137092,Illinois,Shipped,10/22/2020,Chicago,United States,Second Class,15
US-2020-106439,California,Shipped,11/4/2020,Los Angeles,United States,Standard Class,54
US-2022-112893,California,Ordered,9/9/2022,Stockton,United States,Second Class,3
US-2023-141873,New York,Ordered,10/9/2023,New York City,United States,Standard Class,24
US-2022-141180,Florida,Ordered,5/15/2022,Fort Lauderdale,United States,Second Class,3
US-2023-151008,Utah,Ordered,9/7/2023,Draper,United States,First Class,2
US-2021-117898,Illinois,Shipped,12/11/2021,Bloomington,United States,Standard Class,6
US-2021-130848,Colorado,Ordered,10/25/2021,Denver,United States,Same Day,0
US-2021-154795,Arizona,Shiped,12/24/2021,Bullhead City,United States,Standard Class,12
US-2022-114538,Colorado,Ordered,12/26/2022,Colorado Springs,United States,First Class,1
US-2021-157014,Ohio,Shipped,10/6/2021,Columbus,United States,Second Class,12
US-2021-127544,New York,Shiped,8/12/2021,Utica,United States,Standard Class,6
US-2022-124100,New York,Ordered,3/31/2022,New York City,United States,Standard Class,6
US-2022-152688,New Jersey,Ordered,10/17/2022,Perth Amboy,United States,First Class,2
US-2022-131639,New Mexico,Shippe,12/23/2022,Carlsbad,United States,Standard Class,12
US-2021-131128,New Hampshire,Ordered,10/19/2021,Concord,United States,First Class,1
US-2022-110009,Washington,Shipped,9/13/2022,Seattle,United States,Standard Class,12
US-2020-124247,California,Shipped,12/21/2020,Sacramento,United States,Standard Class,6
US-2021-117086,Vermont,Ordered,11/8/2021,Burlington,United States,Standard Class,6
US-2022-169971,Texas,Ordered,9/4/2022,Houston,United States,Standard Class,12
US-2021-132101,Washington,Shipped,3/25/2021,Seattle,United States,Standard Class,6
US-2022-148852,California,Ordered,5/26/2022,Santa Ana,United States,Standard Class,30
US-2023-145877,Missouri,Shipped,4/4/2023,Springfield,United States,Second Class,6
US-2021-133452,California,Shipped,4/19/2021,Pomona,United States,Standard Class,12
US-2023-162936,Massachusetts,Shipped,8/22/2023,New Bedford,United States,Standard Class,6
US-2022-144792,Arizona,Shipped,5/4/2022,Scottsdale,United States,Standard Class,6
US-2021-118227,New York,Shipped,4/28/2021,New York City,United States,Standard Class,6
US-2021-111514,California,Shipped,9/2/2021,San Francisco,United States,First Class,4
US-2022-105018,Connecticut,Ordered,11/28/2022,Fairfield,United States,Standard Class,6
US-2022-156300,Wisconsin,Ordered,12/29/2022,Milwaukee,United States,Standard Class,6
US-2023-148320,California,Shipped,11/8/2023,San Francisco,United States,Standard Class,6
US-2022-133123,North Carolina,Shipped,9/11/2022,Thomasville,United States,Standard Class,12
US-2023-102729,Texas,Ordered,10/26/2023,Dallas,United States,Standard Class,6
US-2021-134943,Michigan,Shipped,12/6/2021,Ann Arbor,United States,First Class,1
US-2022-152457,Michigan,Ordered,9/12/2022,Roseville,United States,Standard Class,6
US-2023-155152,Rhode Island,Ordered,7/7/2023,Warwick,United States,Second Class,3
US-2023-144596,New York,Shipped,11/10/2023,New York City,United States,Standard Class,6
US-2021-106215,Pennsylvania,Shipped,4/21/2021,Philadelphia,United States,Standard Class,6
US-2022-139689,Tennessee,Shipped,1/3/2023,Bristol,United States,Standard Class,12
US-2021-156797,New York,Ordered,8/11/2021,New York City,United States,Standard Class,12
US-2021-135580,California,Shipped,1/3/2022,Los Angeles,United States,Standard Class,30
US-2021-150413,Texas,Ordered,10/19/2021,Dallas,United States,Second Class,3
US-2020-130813,California,Ordered,1/6/2020,Los Angeles,United States,Second Class,3
US-2020-132227,New York,Shipped,11/10/2020,New York City,United States,Standard Class,6
US-2020-162775,Louisiana,Shipped,1/15/2020,Bossier City,United States,Second Class,15
US-2022-144547,Texas,Shipped,11/14/2022,Houston,United States,Standard Class,6
US-2023-157224,California,Ordered,9/14/2023,Los Angeles,United States,Second Class,3
US-2020-113383,New Jersey,Ordered,9/10/2020,Clifton,United States,First Class,2
US-2020-104402,Delaware,Ordered,6/17/2020,Newark,United States,Standard Class,6
US-2021-125976,Virginia,Ordered,9/27/2021,Arlington,United States,Standard Class,12
US-2020-103310,California,Shipped,5/15/2020,San Jose,United States,Standard Class,24
US-2022-162726,Texas,Ordered,12/27/2022,Port Arthur,United States,Standard Class,12
